co,lat,lon,npop,whit,blac,hisp,o65,hsed,coll,inco,bush,gore,brow,nade,harr,hage,buch,mcre,phil,moor
1,31.7,84.4,198326,74.4,21.8,4.7,9.4,82.7,34.6,19412,34224,47465,758,3326,106,142,363,104,120,121
2,32.3,84.3,20761,82.4,16.8,1.5,7.7,64.1,5.7,14859,5710,2492,117,153,100,103,173,100,103,103
3,32.2,87.6,146223,84.2,12.4,2.4,11.9,74.7,15.7,17838,38737,18950,271,928,105,118,348,103,118,127
4,31.9,84.2,24646,76.1,22.9,2.6,11.8,65.0,8.1,13681,5514,3175,128,184,100,102,165,100,102,103
5,30.3,82.7,460977,88.3,9.2,4.1,16.5,82.3,20.4,19567,115285,97418,743,4570,111,139,670,111,172,176
6,28.1,82.5,1470758,80.3,17.5,10.9,20.3,76.8,18.8,24706,177423,386661,1312,7201,150,229,888,134,174,224
7,32.4,87.2,12337,81.6,16.9,1.6,14.3,55.9,8.2,12570,2973,2255,110,139,100,101,190,101,102,103
8,28.9,84.0,133681,94.3,4.4,3.4,33.4,75.7,13.4,18977,35526,29745,227,1562,106,115,282,103,118,112
9,30.8,84.5,112454,96.2,2.8,2.5,30.7,68.6,10.4,16060,29865,25625,294,1479,105,116,370,100,118,128
10,32.0,83.9,135179,91.0,6.0,3.5,7.9,81.2,17.9,18598,41836,14732,304,662,101,114,286,103,106,109
11,28.1,83.4,195731,93.3,5.7,17.1,21.5,79.0,22.3,30906,60533,30018,285,1499,107,134,222,104,110,129
12,32.2,84.6,52856,78.3,20.5,1.9,12.3,69.0,11.0,15349,11064,7147,227,358,101,107,189,102,108,105
13,29.2,83.8,26259,80.6,18.1,12.1,18.0,54.5,7.6,16544,4356,3420,123,257,100,100,136,103,108,102
14,31.6,85.2,12563,89.8,9.5,1.2,14.4,57.7,6.2,12035,2797,1926,132,175,100,102,129,100,103,102
15,32.3,83.6,732622,69.4,27.5,3.4,10.7,76.9,18.4,20686,152198,107964,1052,2857,137,262,752,115,158,141
16,32.6,89.3,282604,73.3,22.7,2.6,11.7,76.2,18.2,17661,73117,41043,396,1827,106,124,602,103,210,120
17,31.5,83.3,46128,88.5,9.8,5.9,23.0,78.7,17.3,15613,12713,13997,160,535,101,104,183,103,103,112
18,31.8,86.8,10133,84.5,14.5,1.0,17.8,59.5,12.4,15735,2554,2146,117,185,101,103,133,100,103,102
19,32.6,86.6,45441,37.6,61.8,2.9,11.6,59.9,11.2,14416,4867,9835,124,239,103,104,138,104,107,106
20,31.7,84.8,13367,90.0,9.3,2.1,13.0,63.0,7.4,12865,3400,2010,152,197,100,101,129,100,102,104
21,29.0,83.2,9698,79.6,13.7,10.1,15.3,57.4,7.1,14789,1941,1542,112,156,100,103,109,101,100,101
22,31.9,87.2,13926,73.9,25.2,1.1,13.6,66.4,9.2,15482,3650,2497,121,186,102,104,171,102,102,109
23,32.5,84.9,12521,56.3,43.0,3.6,10.9,58.4,7.0,12357,2246,1822,112,137,104,101,123,108,107,104
24,29.5,83.8,22113,93.1,5.9,28.4,13.3,54.8,8.6,16812,3865,2439,117,175,100,102,130,100,102,103
25,28.6,83.2,31634,78.2,18.8,26.6,9.9,56.6,10.0,17823,4847,3340,111,203,103,101,122,102,107,102
26,30.6,84.5,125537,94.4,4.6,4.0,29.6,70.5,9.7,16062,30746,32744,216,1601,108,126,342,104,110,122
27,29.3,83.3,76854,87.1,11.6,6.7,32.4,68.2,10.9,17655,20306,14267,164,645,106,116,227,103,107,108
28,29.9,84.3,909444,82.8,14.9,16.0,12.3,75.6,20.2,20167,180860,169657,1238,7590,135,317,947,129,168,254
29,32.9,87.8,18382,91.7,6.5,1.7,15.5,57.1,7.4,12790,5111,2277,118,194,101,107,176,103,106,102
30,29.7,82.6,99215,89.2,9.9,3.9,26.6,76.5,19.1,28977,28735,19868,222,1050,104,113,205,102,113,110
31,32.8,87.2,45706,69.5,29.6,3.5,14.4,61.6,10.9,15519,9238,6968,140,238,100,102,202,101,104,107
32,32.4,85.9,13232,49.4,50.1,1.3,13.4,64.1,14.7,15574,2578,3141,114,176,102,101,129,101,100,100
33,32.0,85.2,6289,83.0,16.4,5.1,10.7,58.2,5.2,13663,1770,889,106,126,102,100,110,101,101,100
34,30.8,83.7,196214,88.2,10.9,3.8,26.3,70.6,12.7,18269,50110,36671,304,1560,104,136,389,101,121,115
35,28.6,83.9,387091,91.1,7.8,5.9,24.4,76.9,16.4,22053,106241,73660,638,3687,130,181,405,105,134,196
36,32.5,86.3,215170,70.4,27.3,3.1,8.4,84.9,37.1,16705,39153,61525,430,2032,109,128,382,107,116,131
37,31.3,84.8,32254,84.4,14.2,2.6,17.6,62.8,8.3,13745,6958,5498,192,384,101,101,167,101,110,112
38,32.2,86.9,6703,78.1,20.9,3.1,10.7,56.7,7.3,14896,1417,1117,112,119,100,103,139,100,101,102
39,32.5,85.5,17558,53.9,45.6,1.9,13.8,56.5,9.7,13002,3138,3114,118,154,100,102,129,101,101,105
40,29.5,84.4,237159,89.8,9.0,5.8,27.8,75.6,15.5,23031,58052,49277,342,2591,105,135,371,103,119,126
41,31.2,84.1,237308,84.3,14.6,4.0,21.4,69.6,11.5,14502,55241,44765,762,1909,113,126,663,106,122,149
42,29.1,82.4,116087,91.8,6.9,6.2,26.6,79.7,20.3,31996,34070,26720,209,1218,114,129,212,107,120,114
43,27.6,82.5,2044600,77.0,21.2,54.4,14.4,65.0,18.8,20014,289592,328864,860,5452,187,219,660,135,169,224
44,27.1,83.2,81919,92.3,6.2,15.8,15.9,79.7,20.3,25160,16159,16583,262,1190,101,126,147,100,103,107
45,32.6,83.8,54096,87.3,11.9,1.5,9.8,71.2,21.5,20874,16380,6979,162,353,100,107,190,104,103,103
46,32.7,88.6,167580,85.3,10.3,4.2,9.1,83.8,21.0,18959,52193,17048,413,1085,104,115,367,102,133,120
47,29.4,82.9,33102,91.1,7.5,14.8,14.6,59.1,9.8,15162,5157,4688,121,231,101,104,143,101,103,104
48,30.5,83.3,783974,79.1,17.5,12.3,10.4,78.8,21.2,20469,134617,140320,991,3979,113,165,546,107,141,146
49,30.1,83.1,142128,90.7,6.6,15.3,13.2,73.7,11.2,16256,26312,28281,409,832,110,120,245,105,110,133
50,28.6,82.4,1018524,83.9,14.4,9.8,23.7,78.8,22.1,33518,152946,269045,843,5664,145,243,3507,402,288,203
51,30.3,84.4,320253,96.5,2.3,4.4,32.0,66.9,9.1,16924,68682,69664,513,3493,119,183,670,114,116,177
52,29.9,84.7,871766,89.1,9.0,3.1,26.6,78.1,18.5,24796,184923,200729,1330,10122,141,542,1113,127,172,270
53,30.0,83.7,448646,83.3,15.4,5.3,18.2,68.0,12.9,17824,90280,75293,465,2162,108,159,632,105,146,136
54,31.6,83.7,70430,78.1,20.9,3.4,17.6,64.3,8.3,14250,13547,12202,214,477,102,107,248,103,110,112
55,32.7,89.0,114481,92.6,4.6,2.0,8.9,78.5,18.6,17127,36374,12902,231,824,101,113,411,101,143,119
56,29.2,84.4,301644,94.0,5.1,2.8,32.3,81.3,21.9,30205,83200,72953,531,4169,111,194,405,105,115,159
57,30.7,83.2,344729,87.4,9.8,8.4,10.1,84.6,26.3,21815,75777,59274,650,2046,106,138,294,105,118,126
58,31.9,83.4,112707,88.7,10.1,3.0,15.6,79.9,23.6,25637,39646,19602,310,1317,104,111,329,102,112,113
59,29.4,82.4,179559,79.6,19.0,5.2,20.1,71.7,13.1,16483,34805,41659,265,1468,104,112,224,110,113,129
60,30.7,84.1,39428,81.0,18.1,3.1,20.3,64.3,7.8,14606,12227,9737,153,406,102,102,214,100,103,117
61,32.2,85.0,33077,82.2,16.9,2.0,15.8,63.8,8.2,14773,8106,4175,152,280,102,104,208,100,109,105
62,32.0,85.6,18718,77.1,21.5,1.3,12.7,62.1,9.8,15459,4156,2749,104,159,100,103,127,101,108,101
63,32.0,84.4,12359,71.0,27.8,4.8,7.0,67.7,7.9,10783,2432,1507,115,133,101,100,137,100,101,100
64,31.1,83.1,419797,88.0,10.5,5.0,22.7,75.4,14.8,17778,82314,97163,542,3003,108,136,596,105,120,169
65,32.2,86.4,19172,83.9,14.9,.9,10.9,71.6,10.9,15570,4612,3938,130,249,102,103,146,101,100,106
66,32.6,88.2,37914,88.9,8.6,1.2,14.9,66.5,11.9,14866,12282,5742,168,365,103,111,220,102,107,118
67,32.6,87.7,20221,79.7,17.6,1.5,16.4,60.9,7.4,13732,5094,2898,132,193,100,102,188,100,109,105
